Key,Description,Standard,IT,JP,,
SAY.gameLocalization.112.,,"The latter sounds so much FUN isn`t it! Burn baby, burn!","Questa cosa è così divertente! Brucia, bella lanterna, brucia!",こいつを使えば化け物たちも燃やし尽くせるぜ！ぜーんぶ燃やしちまえ！,,
SAY.gameLocalization.52.,,*strange sound*,*suono sinistro*,*奇妙な音*,,
SAY.gameLocalization.51.Anne,,"Stop it, stop it NOW. Who are you?","Finiscila, per favore! Chi sei tu?",やめて、やめてってば！誰なの？,,
SAY.gameLocalization.50.Mysterious Voice,,"Yay! A checkpoint! Get more excited little girl, if you check this by pressing “B”, you can get new candles and also start from this point when you get overwhelmed by darkness and...","Evviva, un checkpoint! Forza, divertiti bambina! Se lo attivi premendo il tasto ""E"" riceverai delle nuove candele e ricomincerai da questo punto nel caso l'oscurità ti prendesse e…","おぉ！チェックポイントじゃないか！喜べ嬢ちゃん、""B""ボタンで調べればロウソクを補充できるし、万が一闇に飲まれちまってもまたここから…",,
SAY.gameLocalization.49.Mysterious Voice,,...oopsies.,Ops!,おっと…喋りすぎたかな。,,
SAY.gameLocalization.47.Mysterious Voice,,Anyway...,Ad ogni modo…,とにかく…,,
SAY.gameLocalization.46.Mysterious Voice,,...the sound will let you know that you`ve checked it or not so be careful with it.,"…il suono ti farà capire se lo hai ottivato o meno, cerca di farci caso!",…調べたら音がなるから気をつけたほうがいいぜ。,,
SAY.gameLocalization.43.,,Another lever... This time a blue one.,Questa è una leva blu.,またレバー…今回は青いの。,,
SAY.gameLocalization.42.,,This time a yellow lever... How many are there?,Questa è una leva gialla,今度は黄色？何個あるの？,,
SAY.gameLocalization.41.,,A red lever? I wonder what it did...,Questa è una leva rossa.,赤い、レバー？なにかおきたのかな…,,
SAY.gameLocalization.73.Anne,,Mom used to lit the fireplace with 3 pieces of wood... ,Mamma lo accendeva il camino con 3 pezzi di legno.,ママはいつも３つの薪で暖炉をつけてたはず…,,
SAY.gameLocalization.74.Anne,,I need it lit so I can scare away the cat and get its object…,Devo accenderlo…Posso spaventare il gatto e recuperare l'oggetto.,早く火をつけてあの子を追い払わないと…,,
,,,,,,
SAY.gameLocalization.77.Anne,,F-found one! ,L'ho…l'ho trovato…,い、一個あった！,,
SAY.gameLocalization.84.,,mmm... here says I have to put the right numbers.,"Mmmh, qui dice che devo inserire i numeri giusti.",んん…番号を当てればいいのかな？,,
SAY.gameLocalization.326.,,Maybe...,Forse...,多分…,,
MENU.gameLocalization.274,,0,,0,,
MENU.gameLocalization.273,,1,,1,,
MENU.gameLocalization.272,,2,,2,,
MENU.gameLocalization.271,,3,,3,,
MENU.gameLocalization.270,,4,,4,,
MENU.gameLocalization.299,,5,,5,,
MENU.gameLocalization.269,,6,,6,,
MENU.gameLocalization.300,,7,,7,,
MENU.gameLocalization.268,,8,,8,,
MENU.gameLocalization.355,,9,,9,,
SAY.gameLocalization.325.Anne,,I... It's just a painting...,S-solo un dipinto…è solo un dipinto…,ただの…絵だよね…,,
SAY.gameLocalization.114.,,*strange sound*,*suono sinistro*,*奇妙な音*,,
SAY.gameLocalization.118.Mysterious Voice,,"Oh, just a reminder, be careful with those flying books...",Ah e…stai attenta ai libri volanti!,あ、忠告なんだが、ここらのそらとぶ本には気をつけろよ…,,
SAY.gameLocalization.120.Anne,,What? Books don`t fly though!,I cosa?! I libri non volano.,え？本は飛ばないもん！,,
SAY.gameLocalization.238.Mysterious Voice,,Well you saw those lamps try attacking you right? Don`t   believe with those common sense in this house.,"Hai visto le lampade che provano ad attaccarti, giusto? Non confidare nel buon senso in questa casa.",ランプとかが襲ってきただろ？ここの中では常識なんて捨てちまいな。,,
SAY.gameLocalization.96.,,"Weep, weep, snifle...",*pianto e singhiozzo*,えーん、えーん、グスっ…,,
SAY.gameLocalization.97.,,"Asuka... don't leave me alone... where are you, Asuka?","Asuka…non lasciarmi sola…dove sei, Asuka?",アスカ…私を一人にしないで…どこにいるの、アスカ？,,
SAY.gameLocalization.98.,,You are my only and best friend... *sniffle* i'm so lonely...,Sei la mia unica amica…mi sento così sola…,私の唯一の親友だと思ってたのに…グスっ、一人は寂しいよ…,,
SAY.gameLocalization.99.,,I'm scared... {i}They{/i} are going to come again...,Ho paura! Loro…loro stanno arrivando di nuovo!,怖いよ… {i}あれ{/i}がまた来ちゃうよ…,,
SAY.gameLocalization.100.,,You are such a meanie! You know I can't sleep without you...,Sei proprio cattiva! Lo sai che non riesco ad addormentarmi senza di te…,もう！アスカのいじわる！あなたがいないと眠れないの知ってるくせに…,,
SAY.gameLocalization.101.,,"We're the ""Awesome Sister of Justice""! Remember, Asuka?\nWe will win believing in the magic of our heart, like Mahou Shojo always says!","Noi siamo le ""Fantastiche Sorelle della Giustizia""! Ricordi, Asuka? Vinceremo credendo nella magia dei nostri cuori, come dice sempre Mahou Shojo!","私達は二人で""正義の姉妹""なんだから。覚えてないの？二人でいればどんな敵も怖くないって魔法少女たちも言ってたじゃない。",,
SAY.gameLocalization.239.,,"If you are going to play hide and seek , I will not give up until I find you...!","Se giocherai a nascondino, non mi arrenderò finché non ti trovo…!",あ、もしかしてかくれんぼなの？もしそうなら絶対見つけるわ…！,,
SAY.gameLocalization.103.,,"Wait for me Asuka, i will save you now... my precious little friend!","Aspettami Asuka, ti salverò…mia piccola amica!",待ってなさいアスカ、絶対探し出して見せるわ…私の大切な小さな友達！,,
SAY.gameLocalization.104.,,...,…,…,,
SAY.gameLocalization.105.,,Hey little girl! It seems like {i}they{/i} started moving again.,"Hey, bambina! Sembra che loro abbiano ricominciato a muoversi.",やぁ嬢ちゃん！どうやら {i}あれ{/i}がまた動き出したみたいだぜ。,,
SAY.gameLocalization.106.,,Ahh! What is happening...?,Ahh! Che sta succedendo...?,うっ..！なにがおきてるの…？,,
SAY.gameLocalization.107.,,"What is going to happen you say? Ahah, just some interesting adventure of finding your precious little doll.","Che cosa succederà dici? Ahaha, giusto qualche interessante avventura per trovare la tua preziosa bambola.",何がおきるってか？そりゃあ、楽しい楽しい人形探しの旅だろうさ。,,
SAY.gameLocalization.241.,,?!...,?!...,?!...,,
SAY.gameLocalization.124.,,"Woof! grrrrr, woof woof!","Woof, grrrrr, woof woof!",ワン！ガルルルルゥ、ワン！,,
SAY.gameLocalization.128.,,Don`t hurt me anymore!,Non farmi più del male!,もう私を傷つけないで！,,
SAY.gameLocalization.290.Anne,,*{i}Strange sound{/i}*,*suono sinistro*,*{i}奇妙な音{/i}*,,
SAY.gameLocalization.297.Anne,,{w}A-a lever...? {w=2},U-una leva...?,{w}レ、レバー...? {w=2},,
SAY.gameLocalization.288.Anne,,I wonder what it does... ,Mi chiedo a cosa serva…,なにか変わったのかな…?,,
MENU.gameLocalization.264,,0,,0,,
MENU.gameLocalization.263,,1,,1,,
MENU.gameLocalization.262,,2,,2,,
MENU.gameLocalization.261,,3,,3,,
MENU.gameLocalization.260,,4,,4,,
MENU.gameLocalization.259,,5,,5,,
MENU.gameLocalization.258,,6,,6,,
MENU.gameLocalization.257,,7,,7,,
MENU.gameLocalization.256,,8,,8,,
MENU.gameLocalization.255,,9,,9,,
MENU.gameLocalization.350,,Retry,Riprova,やり直す,,
MENU.gameLocalization.282,,0,,0,,
MENU.gameLocalization.281,,1,,1,,
MENU.gameLocalization.280,,2,,2,,
MENU.gameLocalization.279,,3,,3,,
MENU.gameLocalization.295,,4,,4,,
MENU.gameLocalization.278,,5,,5,,
MENU.gameLocalization.267,,6,,6,,
MENU.gameLocalization.277,,7,,7,,
MENU.gameLocalization.276,,8,,8,,
MENU.gameLocalization.275,,9,,9,,
MENU.gameLocalization.349,,Retry,Riprova,やり直す,,
MENU.gameLocalization.298,,0,,0,,
MENU.gameLocalization.294,,1,,1,,
MENU.gameLocalization.293,,2,,2,,
MENU.gameLocalization.292,,3,,3,,
MENU.gameLocalization.291,,4,,4,,
MENU.gameLocalization.284,,5,,5,,
MENU.gameLocalization.296,,6,,6,,
MENU.gameLocalization.286,,7,,7,,
MENU.gameLocalization.285,,8,,8,,
MENU.gameLocalization.283,,9,,9,,
MENU.gameLocalization.348,,Retry,Riprova,やり直す,,
SAY.gameLocalization.304.Anne,,Mmm... there is something written in here…,Mmm…qui c'è scritto qualcosa…,んん？なにか書いてある…,,
SAY.gameLocalization.303.Anne,,"""Full moon + Rabbit = Firewood""",Luna piena + coniglio = legname,"""まんげつ+うさぎ＝薪""",,
SAY.gameLocalization.320.Mysterious Voice,,Better think hard little girl!,"Meglio pensare attentamente, piccola bambina.",これは頭使いそうだな、嬢ちゃん！,,
SAY.gameLocalization.301.Anne,,"I hate riddles, they are so boooooring.","Odio gli indovinelli, sono così noiooooosi!",なぞなぞ苦手なのに、つまんなーい。,,
SAY.gameLocalization.310.Anne,,(I believed that I can fly to the moon when I was little. I`m a big girl now!),"(Quando ero una bambina credevo di poter combattere dalla luna, sono una bambina grande ora!)",（昔はお月様まで飛べると思ってたなぁ。もう成長したもんね！）,,
SAY.gameLocalization.307.Mysterious Voice,,"Ay! You got it, little girl! Here`s the wood.",Evviva! Ce l'hai fatta ragazzina! Ecco il legname.,お！正解だぞ！これをくれてやる。,,
SAY.gameLocalization.313.Anne,,(What is this? It doesn`t look too cute...but I like the colours!){w}{w=0.1},(Che cos'è? Non sembra molto carino…ma mi piacciono i colori!),（なんだろうこれ？あまり可愛くはないけど…色が鮮やかだわ。){w}{w=0.1},,
SAY.gameLocalization.312.Mysterious Voice,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!{w}{w=0.1}","SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1},,
SAY.gameLocalization.316.Anne,,(I always dreamt of going to the moon with mommy...){w}{w=0.1},(Ho sempre sognato di andare sulla luna con la mamma…),(ママとお月様に行く夢をよく見てたなぁ...){w}{w=0.1},,
SAY.gameLocalization.315.Mysterious Voice,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!{w}{w=0.1}","SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1},,
SAY.gameLocalization.319.Anne,,(This flower looks like the one that daddy gave to mommy on her birthday. It looks so cute.) {w}{w=0.1},(Questo fiore sembra quello che papà ha regalato a mamma il giorno del suo compleanno. È così carino.),(このお花パパがママに昔あげてたのに似てる。すごくかわいいなぁ。) {w}{w=0.1},,
SAY.gameLocalization.318.Mysterious Voice,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!{w}{w=0.1}","SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！{w}{w=0.1},,
SAY.gameLocalization.331.Anne,,Ahh...!,Ahh…,んっ…！,,
SAY.gameLocalization.332.Tama,,...Meow!!,…Meow!!,...にゃあ！,,
SAY.gameLocalization.333.Anne,,Please don`t come near me...!,"Per favore, non ti avvicinare!!",私から離れて...！,,
SAY.gameLocalization.329.Anne,,“486”... I wonder what this is for...?,"""486"". Dove potrei inserire questi numeri?","""486""…なんの数字だろうこれ…？",,
SAY.gameLocalization.345.Anne,,mmm... here says I have to put the right numbers.,"mmmh, qui dice che devo inserire i numeri giusti.",んん…番号を当てればいいのかな？,,
SAY.gameLocalization.346.Anne,,Maybe...,Forse...,多分…,,
SAY.gameLocalization.354.Anne,,I've already checked it,Ho già controllato,もう調べてある...,,
CHARACTER.Mysterious Voice,,Mysterious Voice,Voce Misteriosa,見知らぬ声,,
CHARACTER.Anne,,Anne,Anne,アン,,
CHARACTER.Tama,,Tama,Tama,タマ,,
SAY.gameLocalization.66.,,"If you can figure out what a B button is, ahahah.","Se riesci a capire cosa è il tasto E, ahahah!",まぁ、Bボタンってのがなにかわかればいいな（笑）,,
SAY.gameLocalization.47.,,Anyway...,Ad ogni modo…,とにかく…,,
SAY.gameLocalization.9.,,Concerned with the things around yourself?,Ti preoccupano gli oggetti intorno a te?,周りの物で気になるものはあるかい？,,
SAY.gameLocalization.4.,,"The voices, again... oh, nooo!","Le voci, di nuovo…oh nooo!",また、あの声が… やめてぇええ！,,
SAY.gameLocalization.46.,,...the sound will let you knowthat you`ve checked it or not so be careful with it.,"…il suono ti farà capire se lo hai ottivato o meno, cerca di farci caso!",…調べたら音がなるから気をつけたほうがいいぜ。,,
SAY.gameLocalization.49.,,...oopsies.,Ops!,おっと…喋りすぎたかな。,,
SAY.gameLocalization.50.,,"Yay! A checkpoint! Get more excited little girl, if you check this by pressing “B”, you can get new candles and also start from this point when you get overwhelmed by darkness and...","Evviva, un checkpoint! Forza, divertiti bambina! Se lo attivi premendo il tasto ""E"" riceverai delle nuove candele e ricomincerai da questo punto nel caso l'oscurità ti prendesse e…","おぉ！チェックポイントじゃないか！喜べ嬢ちゃん、""B""ボタンで調べればロウソクを補充できるし、万が一闇に飲まれちまってもまたここから…",,
SAY.gameLocalization.51.,,"Stop it, stop it NOW. Who are you?","Fermati, fermati ho detto! Chi sei tu?",やめて、やめてってば！誰なの？,,
SAY.gameLocalization.53.,,"You can use it the same way as the candle by pressing the “R1” but with this one, you can shine it up and downwards too by using the ""right stick""!","La puoi utilizzare nello stesso modo della candela: premi la barra spaziatrice per accenderla. Con la lanterna potrai illuminare anche sopra e sotto di te con i tasti ""W"" e ""S""!","ロウソクと同じで、""R1""を押すことで使えるんだが、こいつの場合は""右スティック""で明かりを上下に向けることができるぞ！",,
SAY.gameLocalization.54.,,"That`s a very cool lantern, indeed! Press the “L1” button to change with the candle.","Questa è una fantastica lanterna! Premi il tasto ""Shift"" per scambiarla con la candela.","かっこいいランタンだな！""L1""ボタンを押してロウソクと交換してみようぜ。",,
SAY.gameLocalization.55.,,"The voices, again... oh, no! Stop it, stop it NOW. Who the hell are you?","Le voci, ancora…oh,no! Lasciami stare, fermati! Chi diavolo sei?",またこの声…もういい加減にして！誰なのよ…,,
SAY.gameLocalization.57.,,"Try pressing “B” button, this time in front of that bookshelf.","Prova a premere il tasto ""E"" davanti alla libreria.","本棚の前で""B""ボタンを押してみな。",,
SAY.gameLocalization.58.,,Wow that hole is massive! It seems like the only way to go past this is to climb up that bookshelf. ,Wow! Questa voragine è enorme. Sembra che l'unico modo per sorpassarla sia salendo sulla libreria.,でっけぇ穴だな！ここを通るには本棚の上を渡るしかなさそうだな。,,
SAY.gameLocalization.59.,,"Stop talkng in my head, please i beg you...","Smettila di parlare nella mia testa, ti prego…",もう頭の中に話しかけないで、お願いだから…,,
SAY.gameLocalization.61.,,"But after all, she is just a candle, so make sure not to use too much or else you will find yourself alone in the middle of no where... hehe.",Ma in fin dei conti è solo una candela… stai attenta a non abusarne altrimenti ti ritroverai in mezzo al nulla…hehe.,だが所詮ロウソクだ、使いすぎたら当然おさらばだ。だから気をつけて使うんだな。,,
SAY.gameLocalization.62.,,"Press ""spacebar"" to light your little candle. she will be the only thing you can trust now, hopefully she will show you the truth.","Premi la barra spaziatrice per accendere la tua piccola candela. Sarà l'unica cosa di cui ti potrai fidare ora, affidati a lei per scoprire la verità dietro questa magione.","Press ""R1"" button to light your little candle. She will be the only thing you can trust now, hopefully she will show you the truth.",,"""R1""ボタンを押してロウソクを照らしてみてくれ。少し心もとないかもしれないが、真実を見せてくれるだろう。"
SAY.gameLocalization.63.,,It's so damn dark in here isn't it?,"È molto buio qui, non è vero?",この部屋めっちゃ暗いな。,,
SAY.gameLocalization.64.,,"Stop it, stop it NOW! Who are you?","Fermati, fermati ho detto! Chi sei tu?",やめて、やめてってば！誰なの？,,
SAY.gameLocalization.238.,,Well you saw those lamps try attacking you right? Don`t   believe with thosecommon sense in this house.,"Hai visto le lampade che provano ad attaccarti, giusto? Non confidare nel buon senso in questa casa.",ランプとかが襲ってきただろ？ここの中では常識なんて捨てちまいな。,,
SAY.gameLocalization.120.,,What? Books don`t fly though!,I cosa?! I libri non volano.,え？本は飛ばないもん！,,
SAY.gameLocalization.118.,,"Oh, just a reminder, be careful with those flying books...",Ah e…stai attenta ai libri volanti!,あ、忠告なんだが、ここらのそらとぶ本には気をつけろよ…,,
SAY.gameLocalization.74.,,I need it lit so I can scare away the cat and get its object…,Devo accenderlo…Posso spaventare il gatto e recuperare l'oggetto.,早く火をつけてあの子を追い払わないと…,,
,,,,,,
SAY.gameLocalization.73.,,Mom used to lit the fireplace with 3 pieces of wood... ,Mamma lo accendeva il camino con 3 pezzi di legno.,ママはいつも３つの薪で暖炉をつけてたはず…,,
SAY.gameLocalization.77.,,F-found one! ,L'ho…l'ho trovato…,い、一個あった！,,
SAY.gameLocalization.288.,,I wonder what it does... ,Mi chiedo a cosa serva…,なにか変わったのかな…?,,
SAY.gameLocalization.290.,,*{i}Strange sound{/i}*,*{i}suono sinistro{/i}*,*{i}奇妙な音{/i}*,,
SAY.gameLocalization.297.,,{w}A-a lever...? {w=2},{w}U-una leva...? {w=2},{w}レ、レバー...? {w=2},,
SAY.gameLocalization.301.,,"I hate riddles, they are so boooooring.","Odio gli indovinelli, sono così noiooooosi!",なぞなぞ苦手なのに、つまんなーい。,,
SAY.gameLocalization.303.,,"""Full moon + Rabbit = Firewood""",“Luna piena + coniglio = legname”,"""まんげつ+うさぎ＝薪""",,
SAY.gameLocalization.304.,,Mmm... there is something written in here. ,Mmm…qui c'è scritto qualcosa…,んん？なにか書いてある…,,
SAY.gameLocalization.307.,,"Ay! You got it, little girl! Here`s the wood.",Evviva! Ce l'hai fatta ragazzina! Ecco il legname.,お！正解だぞ！これをくれてやる。,,
SAY.gameLocalization.310.,,(I believed that I can fly to the moon when I was little. I`m a big girl now!),"(Quando ero una bambina credevo di poter combattere sulla luna, sono una bambina grande ora!)",（昔はお月様まで飛べると思ってたなぁ。もう成長したもんね！）,,
SAY.gameLocalization.312.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!","SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！,,
SAY.gameLocalization.313.,,(What is this? It doesn`t look too cute...but I like the colours!),(Che cos'è? Non sembra molto carino…ma mi piacciono i colori!),（なんだろうこれ？あまり可愛くはないけど…色が鮮やかだわ。),,
SAY.gameLocalization.315.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!","SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！,,
SAY.gameLocalization.316.,,(I always dreamt of going to the moon with mommy...),(Ho sempre sognato di andare sulla luna con la mamma…),(ママとお月様に行く夢をよく見てたなぁ...),,
SAY.gameLocalization.318.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!","SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！,,
SAY.gameLocalization.319.,,(This flower looks like the one that daddy gave to mommy on her birthday. Itlooks so cute.),(Questo fiore sembra quello che papà ha regalato a mamma il giorno del suo compleanno. È così carino.),(このお花パパがママに昔あげてたのに似てる。すごくかわいいなぁ。),,
SAY.gameLocalization.320.,,Better think hard little girl.,"SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",これは頭使いそうだな、嬢ちゃん！,,
SAY.gameLocalization.333.,,Please don`t come near me...!,"Per favore, non ti avvicinare!!",私から離れて...！,,
SAY.gameLocalization.332.,,...Meow!!,…Meow!!,...にゃあ！,,
SAY.gameLocalization.331.,,Ahh...,Ahh...,んっ…！,,
SAY.gameLocalization.325.,,I-it's just a painting...,S-solo un dipinto…è solo un dipinto…,ただの…絵だよね…,,
SAY.gameLocalization.329.,,“486”... I wonder what this is for...?,"""486"". Dove potrei inserire questi numeri?","""486""…なんの数字だろうこれ…？",,
SAY.gameLocalization.217.,,(I always dreamt of going to the moon with mommy...),(Ho sempre sognato di andare sulla luna con la mamma…),(ママとお月様に行く夢をよく見てたなぁ...),,
SAY.gameLocalization.218.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!","SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！,,
SAY.gameLocalization.221.,,(What is this? It doesn`t look too cute...but I like the colours!),(Che cos'è? Non sembra molto carino…ma mi piacciono i colori!),（なんだろうこれ？あまり可愛くはないけど…色が鮮やかだわ。),,
SAY.gameLocalization.222.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!","SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！,,
SAY.gameLocalization.227.,,(I believed that I can fly to the moon when I was little. I`m a big girl now!),"(Quando ero una bambina credevo di poter combattere sulla luna, sono una bambina grande ora!)",（昔はお月様まで飛べると思ってたなぁ。もう成長したもんね！）,,
SAY.gameLocalization.231.,,"Ay! You got it, little girl! Here`s the wood.",Evviva! Ce l'hai fatta ragazzina! Ecco il legname.,お！正解だぞ！これをくれてやる。,,
SAY.gameLocalization.213.,,(This flower looks like the one that daddy gave to mommy on her birthday. Itlooks so cute.),(Questo fiore sembra quello che papà ha regalato a mamma il giorno del suo compleanno. È così carino.),(このお花パパがママに昔あげてたのに似てる。すごくかわいいなぁ。),,
SAY.gameLocalization.214.,,"SURPRISE!! This isn`t the right one, little girl. Think harder, think, think!","SORPRESA!! Questo non è quello giusto, ragazzina. Pensa più intensamente…pensa pensa!",残～念!!これは違うぜ。もっと頭を使いな、嬢ちゃん！,,
SAY.gameLocalization.236.,,“486”... I wonder what this is for...?,"""486"". Dove potrei inserire questi numeri?","""486""…なんの数字だろうこれ…？",,
SAY.gameLocalization.207.,,*{i}Strange sound{/i}*,*{i}suono sinistro{/i}*,*{i}奇妙な音{/i}*,,
SAY.gameLocalization.208.,,{w}A-a lever...? {w=2},{w}U-una leva...? {w=2},{w}レ、レバー...? {w=2},,
SAY.gameLocalization.205.,,I wonder what it does... ,Mi chiedo a cosa serva…,なにか変わったのかな…?,,
SAY.gameLocalization.196.,,Mmm... there is something written in here. ,Mmm…qui c'è scritto qualcosa…,んん？なにか書いてある…,,
SAY.gameLocalization.197.,,"""Full moon + Rabbit = Firewood""",“Luna piena + coniglio = legname”,"""まんげつ+うさぎ＝薪""",,
SAY.gameLocalization.211.,,Better think hard little girl.,"Meglio pensare attentamente, piccola bambina.",これは頭使いそうだな、嬢ちゃん！,,
SAY.gameLocalization.199.,,"I hate riddles, they are so boooooring.","odio gli indovinelli, sono così noiooooosi!",なぞなぞ苦手なのに、つまんなーい。,,
MENU.gameLocalization.170,,0,,0,,
MENU.gameLocalization.171,,1,,1,,
MENU.gameLocalization.172,,2,,2,,
MENU.gameLocalization.173,,3,,3,,
MENU.gameLocalization.174,,4,,4,,
MENU.gameLocalization.175,,5,,5,,
MENU.gameLocalization.179,,6,,6,,
MENU.gameLocalization.176,,7,,7,,
MENU.gameLocalization.177,,8,,8,,
MENU.gameLocalization.178,,9,,9,,
MENU.gameLocalization.152,,0,,0,,
MENU.gameLocalization.153,,1,,1,,
MENU.gameLocalization.154,,2,,2,,
MENU.gameLocalization.155,,3,,3,,
MENU.gameLocalization.127,,4,,4,,
MENU.gameLocalization.157,,5,,5,,
MENU.gameLocalization.180,,6,,6,,
MENU.gameLocalization.158,,7,,7,,
MENU.gameLocalization.159,,8,,8,,
MENU.gameLocalization.160,,9,,9,,
MENU.gameLocalization.209,,0,,0,,
MENU.gameLocalization.144,,1,,1,,
MENU.gameLocalization.145,,2,,2,,
MENU.gameLocalization.146,,3,,3,,
MENU.gameLocalization.147,,4,,4,,
MENU.gameLocalization.150,,5,,5,,
MENU.gameLocalization.117,,6,,6,,
MENU.gameLocalization.148,,7,,7,,
